time,GPS_lat,GPS_long,accelx,accely,accelz
1552636994.140455,0,0,0.004104,0.006363,0.100420
1552636994.158306,0,0,0.003857,0.006363,0.100618
1552636994.176302,0,0,0.003758,0.006338,0.100792
1552636994.194589,0,0,0.003486,0.006462,0.100867
1552636994.215441,0,0,0.003881,0.006289,0.100867
1552636994.265276,0,0,0.003906,0.006536,0.100991
1552636994.300393,0,0,0.004104,0.006833,0.100941
1552636994.318071,0,0,0.004104,0.006338,0.100991
1552636994.335565,0,0,0.004055,0.006561,0.100966
1552636994.353513,0,0,0.003832,0.006437,0.100917
1552636994.370845,0,0,0.003783,0.006660,0.100817
1552636994.388772,0,0,0.003758,0.006338,0.100991
1552636994.406457,0,0,0.003733,0.006437,0.100917
1552636994.442108,0,0,0.003634,0.000099,0.100867
1552636994.459937,0,0,0.003733,0.006264,0.100792
1552636994.486792,0,0,0.003807,0.006289,0.100917
1552636994.504420,0,0,0.003832,0.006462,0.100792
1552636994.521762,0,0,0.003733,0.005868,0.100718
1552636994.539503,0,0,0.003609,0.007106,0.101165
1552636994.556710,0,0,0.004055,0.006635,0.100842
1552636994.574646,0,0,0.003412,0.005744,0.100693
1552636994.611339,0,0,0.003733,0.006388,0.101339
1552636994.629391,0,0,0.004030,0.006536,0.100320
1552636994.657233,0,0,0.003708,0.000173,0.101364
1552636994.674838,0,0,0.003708,0.012651,0.100767
1552636994.692091,0,0,0.004005,0.006734,0.100420
1552636994.709857,0,0,0.003708,0.006536,0.100941
1552636994.727056,0,0,0.003708,0.000149,0.100966
1552636994.746249,0,0,0.003931,0.006437,0.100842
1552636994.781930,0,0,0.003881,0.006536,0.100867
1552636994.799420,0,0,0.003881,0.006635,0.100842
1552636994.816885,0,0,0.003708,0.006239,0.101041
1552636994.834559,0,0,0.003807,0.006610,0.100668
1552636994.851805,0,0,0.003684,0.006586,0.100792
1552636994.869626,0,0,0.003956,0.006338,0.101264
1552636994.887822,0,0,0.003956,0.006412,0.101264
1552636994.905710,0,0,0.003906,0.006388,0.101215
1552636994.938366,0,0,0.003634,0.006338,0.100569
1552636994.956584,0,0,0.003585,0.006388,0.100519
1552636994.974514,0,0,0.003758,0.006635,0.100469
1552636994.992889,0,0,0.003684,0.006388,0.100544
1552636995.027038,0,0,0.004005,0.006264,0.101190
1552636995.047481,0,0,0.003881,0.006635,0.100917
1552636995.083312,0,0,0.003857,0.006586,0.100718
1552636995.100834,0,0,0.003634,0.006338,0.100668
1552636995.118012,0,0,0.003906,0.006363,0.100643
1552636995.135658,0,0,0.003857,0.006462,0.101066
1552636995.152961,0,0,0.004055,0.006437,0.101066
1552636995.170593,0,0,0.003807,0.006561,0.101264
1552636995.188530,0,0,0.003832,0.006610,0.101115
1552636995.223984,0,0,0.003609,0.006536,0.100444
1552636995.258908,0,0,0.003733,0.006066,0.100345
1552636995.276418,0,0,0.003585,0.006833,0.101314
1552636995.293792,0,0,0.003362,0.005174,0.100345
1552636995.311113,0,0,0.004697,0.007625,0.101587
1552636995.328571,0,0,0.003560,0.006363,0.101140
1552636995.345920,0,0,0.004450,0.006759,0.100096
1552636995.363773,0,0,0.003684,0.006586,0.100966
1552636995.399980,0,0,0.003263,0.005892,0.100817
1552636995.417379,0,0,0.004104,0.006883,0.101314
1552636995.434720,0,0,0.002868,0.006016,0.100395
1552636995.452313,0,0,0.004969,0.007229,0.101712
1552636995.469591,0,0,0.003164,0.006264,0.101488
1552636995.486835,0,0,0.004574,0.006487,0.099997
1552636995.510640,0,0,0.003708,0.006561,0.101339
1552636995.546434,0,0,0.004228,0.006660,0.100096
1552636995.563882,0,0,0.003609,0.006264,0.100643
1552636995.581551,0,0,0.003956,0.006487,0.101438
1552636995.598836,0,0,0.003560,0.006289,0.100693
1552636995.616268,0,0,0.004252,0.006610,0.100618
1552636995.633971,0,0,0.003758,0.006388,0.101264
1552636995.651941,0,0,0.003857,0.006289,0.100444
1552636995.670317,0,0,0.003980,0.006784,0.101264
1552636995.714654,0,0,0.004450,0.007229,0.101165
1552636995.732086,0,0,0.003931,0.006239,0.101289
1552636995.750724,0,0,0.003758,0.006412,0.100544
1552636995.768433,0,0,0.003807,0.006412,0.100743
1552636995.786805,0,0,0.004055,0.006734,0.100991
1552636995.804579,0,0,0.003733,0.006214,0.100246
1552636995.823195,0,0,0.003807,0.006907,0.101637
1552636995.864157,0,0,0.003758,0.006808,0.101041
1552636995.881788,0,0,0.003758,0.006561,0.101264
1552636995.899462,0,0,0.004030,0.006412,0.100494
1552636995.916821,0,0,0.003807,0.006610,0.100966
1552636995.934228,0,0,0.003684,0.006536,0.100966
1552636995.952020,0,0,0.003807,0.006462,0.100767
1552636995.969239,0,0,0.003956,0.006462,0.100991
1552636995.987523,0,0,0.003585,0.006586,0.100991
1552636996.024862,0,0,0.003684,0.006388,0.100941
1552636996.042617,0,0,0.003881,0.012651,0.100991
1552636996.060415,0,0,0.003980,0.006313,0.101066
1552636996.077749,0,0,0.003906,0.012651,0.100966
1552636996.095147,0,0,0.003758,0.006610,0.101041
1552636996.113060,0,0,0.003881,0.006511,0.100718
1552636996.130387,0,0,0.003881,0.006437,0.100743
1552636996.150401,0,0,0.003832,0.006561,0.100842
1552636996.185850,0,0,0.003758,0.006660,0.100767
1552636996.203440,0,0,0.003807,0.006363,0.100842
1552636996.221065,0,0,0.003980,0.006462,0.100917
1552636996.238328,0,0,0.003906,0.006561,0.100767
1552636996.255763,0,0,0.003857,0.006487,0.100966
1552636996.273184,0,0,0.003758,0.006363,0.100842
1552636996.291073,0,0,0.003758,0.006511,0.100867
1552636996.309100,0,0,0.003783,0.006586,0.100792
1552636996.337022,0,0,0.003807,0.000025,0.100966
1552636996.354555,0,0,0.003906,0.006388,0.101016
1552636996.371898,0,0,0.003807,0.000124,0.100966
1552636996.389205,0,0,0.003857,0.006462,0.100743
1552636996.406560,0,0,0.003758,0.006388,0.100892
1552636996.423825,0,0,0.003906,0.006462,0.100917
1552636996.441604,0,0,0.003881,0.006363,0.100867
1552636996.460195,0,0,0.003783,0.006289,0.100842
1552636996.487012,0,0,0.003881,0.006759,0.100966
1552636996.504381,0,0,0.003857,0.006412,0.100941
1552636996.521715,0,0,0.003807,0.006388,0.100743
1552636996.539195,0,0,0.003634,0.006561,0.100991
1552636996.557025,0,0,0.003807,0.006462,0.100917
1552636996.574872,0,0,0.003783,0.006561,0.100792
1552636996.596568,0,0,0.003733,0.006388,0.100991
1552636996.633103,0,0,0.003857,0.012651,0.100718
1552636996.668815,0,0,0.003783,0.006536,0.100941
1552636996.687076,0,0,0.003807,0.006511,0.100966
1552636996.704958,0,0,0.003758,0.006487,0.100693
1552636996.722774,0,0,0.003857,0.006610,0.101041
1552636996.740652,0,0,0.003733,0.006487,0.101016
1552636996.758312,0,0,0.003807,0.006313,0.100941
1552636996.779946,0,0,0.003832,0.006511,0.100941
1552636996.815956,0,0,0.003807,0.006610,0.100792
1552636996.851564,0,0,0.003832,0.006437,0.100966
1552636996.869856,0,0,0.004030,0.006660,0.100842
1552636996.887762,0,0,0.003857,0.006437,0.101041
1552636996.905582,0,0,0.003807,0.006437,0.100792
1552636996.923450,0,0,0.003832,0.006487,0.100743
1552636996.941350,0,0,0.003634,0.006511,0.100767
1552636996.963138,0,0,0.003783,0.006437,0.101041
1552636997.016229,0,0,0.003783,0.006511,0.100767
1552636997.052606,0,0,0.003807,0.006487,0.100941
1552636997.070970,0,0,0.003857,0.006586,0.100743
1552636997.088690,0,0,0.003857,0.006412,0.100842
1552636997.106491,0,0,0.003857,0.006462,0.100941
1552636997.124373,0,0,0.003857,0.006511,0.100867
1552636997.142208,0,0,0.003931,0.012651,0.100892
1552636997.163984,0,0,0.003857,0.006586,0.100767
1552636997.203148,0,0,0.003906,0.006412,0.100941
1552636997.221215,0,0,0.003931,0.006536,0.100966
1552636997.239094,0,0,0.003634,0.006462,0.100941
1552636997.256850,0,0,0.003733,0.006388,0.100867
1552636997.274916,0,0,0.003980,0.006511,0.100817
1552636997.292895,0,0,0.003807,0.006511,0.100743
1552636997.314980,0,0,0.003832,0.006610,0.100792
1552636997.353445,0,0,0.003733,0.012627,0.100842
1552636997.371857,0,0,0.003807,0.006511,0.100867
1552636997.389887,0,0,0.004005,0.006412,0.101041
1552636997.407739,0,0,0.003783,0.006412,0.100941
1552636997.425576,0,0,0.003783,0.006388,0.100743
1552636997.443577,0,0,0.003931,0.006660,0.100817
1552636997.461582,0,0,0.003783,0.006487,0.101066
1552636997.483767,0,0,0.003832,0.006412,0.100817
1552636997.519840,0,0,0.003832,0.006561,0.100817
1552636997.555925,0,0,0.003881,0.006561,0.100941
1552636997.574091,0,0,0.003733,0.006610,0.100842
1552636997.592007,0,0,0.003585,0.000124,0.100668
1552636997.609984,0,0,0.004055,0.006487,0.101140
1552636997.628197,0,0,0.003486,0.005645,0.100519
1552636997.646259,0,0,0.004920,0.006660,0.101364
1552636997.668089,0,0,0.002942,0.006586,0.100693
1552636997.706269,0,0,0.003461,0.007328,0.101264
1552636997.724665,0,0,0.004153,0.006066,0.100643
1552636997.742714,0,0,0.003436,0.006462,0.100842
1552636997.760929,0,0,0.003931,0.006214,0.101140
1552636997.778683,0,0,0.004129,0.006833,0.101090
1552636997.796339,0,0,0.003609,0.006289,0.100121
1552636997.814104,0,0,0.003832,0.006313,0.100867
1552636997.836338,0,0,0.004079,0.007180,0.101240
1552636997.874541,0,0,0.003708,0.006932,0.101190
1552636997.892848,0,0,0.003758,0.006140,0.101190
1552636997.910922,0,0,0.004129,0.006511,0.100047
1552636997.928990,0,0,0.003461,0.006090,0.100618
1552636997.946886,0,0,0.003906,0.012552,0.101364
1552636997.964849,0,0,0.003634,0.000545,0.100519
1552636997.983169,0,0,0.004079,0.012280,0.101414
1552636998.002346,0,0,0.003585,0.005917,0.101041
1552636998.049953,0,0,0.004030,0.006462,0.101115
1552636998.069288,0,0,0.004153,0.000124,0.099997
1552636998.086631,0,0,0.003239,0.007650,0.101090
1552636998.103847,0,0,0.003758,0.004754,0.101190
1552636998.121040,0,0,0.003807,0.006932,0.101215
1552636998.138199,0,0,0.003708,0.000594,0.100444
1552636998.155709,0,0,0.004030,0.012528,0.101165
1552636998.190904,0,0,0.003980,0.006016,0.101240
1552636998.208546,0,0,0.004104,0.006561,0.100196
1552636998.236960,0,0,0.003684,0.006115,0.101115
1552636998.254211,0,0,0.003733,0.006709,0.101041
1552636998.271510,0,0,0.003931,0.006511,0.100618
1552636998.288811,0,0,0.003980,0.006635,0.101066
1552636998.306074,0,0,0.003758,0.006140,0.101041
1552636998.324889,0,0,0.003881,0.006388,0.101066
1552636998.360321,0,0,0.003684,0.006462,0.100892
1552636998.377703,0,0,0.003708,0.006165,0.100867
1552636998.395039,0,0,0.003807,0.006833,0.100420
1552636998.412358,0,0,0.003585,0.006412,0.101414
1552636998.429655,0,0,0.003684,0.006907,0.100270
1552636998.446945,0,0,0.004055,0.006239,0.101066
1552636998.464539,0,0,0.003758,0.006462,0.101488
1552636998.499675,0,0,0.003956,0.006338,0.100618
1552636998.534975,0,0,0.003585,0.006437,0.100718
1552636998.552478,0,0,0.003708,0.006388,0.100941
1552636998.569782,0,0,0.003857,0.006338,0.101190
1552636998.587080,0,0,0.003881,0.006536,0.101041
1552636998.604404,0,0,0.003807,0.012676,0.100792
1552636998.621673,0,0,0.003931,0.006660,0.100991
1552636998.639308,0,0,0.003807,0.006610,0.100693
1552636998.681534,0,0,0.003807,0.009779,0.099276
1552636998.699236,0,0,0.004697,0.004853,0.103277
1552636998.716951,0,0,0.003906,0.005868,0.098481
1552636998.734447,0,0,0.004302,0.012602,0.100892
1552636998.752023,0,0,0.002991,0.001139,0.102234
1552636998.770384,0,0,0.003239,0.012008,0.100221
1552636998.793930,0,0,0.005068,0.006759,0.099898
1552636998.846366,0,0,0.003807,0.006388,0.100966
1552636998.882809,0,0,0.003436,0.006487,0.100693
1552636998.901901,0,0,0.003807,0.006313,0.101364
1552636998.920399,0,0,0.003832,0.006487,0.100668
1552636998.938668,0,0,0.003980,0.006759,0.100668
1552636998.957787,0,0,0.003585,0.006189,0.100544
1552636998.975930,0,0,0.003906,0.006313,0.100842
1552636998.994658,0,0,0.003758,0.006685,0.101115
1552636999.046094,0,0,0.003980,0.006115,0.101488
1552636999.064004,0,0,0.003783,0.012651,0.100469
1552636999.082047,0,0,0.003733,0.006561,0.100295
1552636999.100400,0,0,0.003832,0.006511,0.101016
1552636999.120464,0,0,0.003560,0.006462,0.100966
1552636999.138272,0,0,0.003881,0.006536,0.100817
1552636999.159676,0,0,0.003857,0.006561,0.101289
1552636999.204669,0,0,0.003906,0.006536,0.100917
1552636999.222128,0,0,0.003881,0.006412,0.100519
1552636999.239459,0,0,0.003807,0.006412,0.100817
1552636999.256632,0,0,0.003832,0.006363,0.100842
1552636999.273943,0,0,0.003708,0.006437,0.101041
1552636999.291245,0,0,0.003783,0.006536,0.100991
1552636999.308995,0,0,0.003634,0.006561,0.100966
1552636999.344529,0,0,0.003758,0.006462,0.100917
1552636999.379836,0,0,0.003881,0.006462,0.100842
1552636999.397340,0,0,0.003956,0.006536,0.100966
1552636999.414630,0,0,0.003881,0.006561,0.100941
1552636999.431949,0,0,0.003783,0.006561,0.100917
1552636999.449295,0,0,0.003708,0.006487,0.100867
1552636999.466546,0,0,0.003906,0.006511,0.100892
1552636999.485580,0,0,0.003931,0.006487,0.100842
1552636999.520723,0,0,0.003980,0.006462,0.100941
1552636999.538502,0,0,0.003684,0.006437,0.100892
1552636999.555824,0,0,0.003758,0.006660,0.100867
1552636999.573107,0,0,0.003857,0.006536,0.100643
1552636999.590378,0,0,0.003708,0.006462,0.100842
1552636999.607662,0,0,0.003708,0.006511,0.100941
1552636999.626643,0,0,0.003783,0.006635,0.100991
1552636999.662694,0,0,0.003164,0.006982,0.101861
1552636999.680665,0,0,0.004153,0.007304,0.100693
1552636999.698523,0,0,0.003980,0.005942,0.100196
1552636999.716490,0,0,0.004055,0.006462,0.101737
1552636999.734318,0,0,0.003263,0.006313,0.100494
1552636999.752344,0,0,0.003733,0.006586,0.100593
1552636999.770380,0,0,0.003684,0.006610,0.101115
1552636999.792073,0,0,0.003881,0.006437,0.100743
1552636999.845591,0,0,0.003758,0.006412,0.100966
1552636999.881659,0,0,0.003832,0.006487,0.100643
1552636999.900199,0,0,0.003609,0.006388,0.100842
1552636999.918189,0,0,0.003807,0.006536,0.101041
1552636999.936464,0,0,0.003807,0.006363,0.100991
1552636999.954664,0,0,0.003758,0.006610,0.101090
1552636999.972662,0,0,0.003857,0.006462,0.100767
1552636999.994334,0,0,0.003807,0.006412,0.100693
1552637000.045944,0,0,0.003659,0.006536,0.100917
1552637000.064675,0,0,0.003659,0.006462,0.100867
1552637000.082984,0,0,0.003832,0.006487,0.100991
1552637000.101053,0,0,0.003783,0.006511,0.100941
1552637000.119101,0,0,0.003956,0.006511,0.100991
1552637000.137518,0,0,0.003659,0.012602,0.100917
1552637000.155419,0,0,0.003881,0.006487,0.100941
1552637000.174424,0,0,0.003733,0.006289,0.100718
1552637000.225687,0,0,0.003609,0.006462,0.101115
1552637000.244034,0,0,0.003684,0.006511,0.101190
1552637000.262399,0,0,0.003857,0.006289,0.100743
1552637000.280309,0,0,0.003931,0.006511,0.100892
1552637000.298584,0,0,0.003783,0.006536,0.100991
1552637000.316778,0,0,0.003832,0.006462,0.100867
1552637000.334907,0,0,0.003659,0.006635,0.100792
1552637000.353583,0,0,0.003609,0.006313,0.100941
1552637000.405823,0,0,0.003659,0.006338,0.100718
1552637000.441833,0,0,0.003783,0.006462,0.100966
1552637000.461155,0,0,0.003634,0.006511,0.100941
1552637000.479148,0,0,0.003906,0.006487,0.100991
1552637000.496994,0,0,0.003832,0.006536,0.100941
1552637000.515005,0,0,0.003758,0.006660,0.100892
1552637000.533113,0,0,0.003783,0.006338,0.100817
1552637000.554810,0,0,0.003881,0.006536,0.100842
1552637000.591697,0,0,0.003758,0.006487,0.100867
1552637000.609990,0,0,0.003708,0.006437,0.100792
1552637000.637730,0,0,0.003708,0.006586,0.100966
1552637000.655632,0,0,0.003906,0.006586,0.101016
1552637000.673562,0,0,0.003807,0.006388,0.100966
1552637000.691721,0,0,0.003857,0.006635,0.100941
1552637000.709710,0,0,0.003807,0.006412,0.100991
1552637000.731647,0,0,0.003857,0.006462,0.100792
1552637000.786407,0,0,0.003807,0.006511,0.100643
1552637000.822170,0,0,0.003708,0.000198,0.100867
1552637000.840906,0,0,0.003783,0.006586,0.101016
1552637000.858864,0,0,0.003857,0.006511,0.100892
1552637000.876755,0,0,0.003832,0.006462,0.100817
1552637000.894907,0,0,0.003857,0.006561,0.100792
